condition,textbox.text,,,,
exp,400,,,,
exp,300,,,,
exp,200,,,,
exp,600,,,,
exp,100,,,,
exp,200,,,449.5397924,expected
exp,600,,,462.0927835,unexpected
exp,400,,,,
exp,300,,,,12.55299112
exp,200,,,,
exp,500,,,,
exp,300,,,,
exp,200,,,,
exp,600,,,,
exp,700,,,,
exp,400,,,,
exp,200,,,,
exp,700,,,,
exp,500,,,,
exp,300,,,,
exp,200,,,,
exp,500,,,,
exp,100,,,,
exp,200,,,,
exp,600,,,,
exp,400,,,,
exp,300,,,,
exp,600,,,,
exp,400,,,,
exp,300,,,,
exp,200,,,,
exp,100,,,,
exp,500,,,,
exp,222,,,,
exp,300,,,,
exp,700,,,,
exp,400,,,,
exp,600,,,,
exp,100,,,,
exp,300,,,,
exp,400,,,,
exp,200,,,,
exp,400,,,,
exp,200,,,,
exp,300,,,,
exp,999,,,,
exp,100,,,,
exp,400,,,,
exp,520,,,,
exp,400,,,,
exp,300,,,,
exp,600,,,,
exp,700,,,,
exp,900,,,,
exp,500,,,,
exp,600,,,,
exp,200,,,,
exp,100,,,,
exp,220,,,,
exp,330,,,,
exp,780,,,,
exp,444,,,,
exp,500,,,,
exp,500,,,,
exp,200,,,,
exp,50,,,,
exp,100,,,,
exp,400,,,,
exp,750,,,,
exp,800,,,,
exp,900,,,,
exp,50,,,,
exp,200,,,,
exp,400,,,,
exp,650,,,,
exp,700,,,,
exp,750,,,,
exp,500,,,,
exp,300,,,,
exp,350,,,,
exp,600,,,,
exp,400,,,,
exp,200,,,,
exp,500,,,,
exp,300,,,,
exp,700,,,,
exp,850,,,,
exp,350,,,,
exp,250,,,,
exp,500,,,,
exp,400,,,,
exp,450,,,,
exp,650,,,,
exp,700,,,,
exp,650,,,,
exp,600,,,,
exp,650,,,,
exp,600,,,,
exp,450,,,,
exp,800,,,,
exp,600,,,,
exp,450,,,,
exp,667,,,,
exp,780,,,,
exp,450,,,,
exp,500,,,,
exp,450,,,,
exp,350,,,,
exp,950,,,,
exp,750,,,,
exp,700,,,,
exp,500,,,,
exp,700,,,,
exp,650,,,,
exp,200,,,,
exp,400,,,,
exp,600,,,,
exp,400,,,,
exp,300,,,,
exp,300,,,,
exp,300,,,,
exp,200,,,,
exp,700,,,,
exp,700,,,,
exp,300,,,,
exp,400,,,,
exp,600,,,,
exp,700,,,,
exp,500,,,,
exp,300,,,,
exp,100,,,,
exp,100,,,,
exp,200,,,,
exp,600,,,,
exp,200,,,,
exp,300,,,,
exp,500,,,,
exp,250,,,,
exp,"677
",,,,
exp,777,,,,
exp,555,,,,
exp,766,,,,
exp,634,,,,
exp,543,,,,
exp,749,,,,
exp,198,,,,
exp,590,,,,
exp,"567
",,,,
exp,200,,,,
exp,"145
",,,,
exp,3,,,,
exp,300,,,,
exp,565,,,,
exp,765,,,,
exp,234,,,,
exp,432,,,,
exp,"487
",,,,
exp,690,,,,
exp,343,,,,
exp,342,,,,
exp,564,,,,
exp,435,,,,
exp,431,,,,
exp,234,,,,
exp,444,,,,
exp,687,,,,
exp,789,,,,
exp,799,,,,
exp,333,,,,
exp,180,,,,
exp,167,,,,
exp,288,,,,
exp,"700
",,,,
exp,"733
",,,,
exp,300,,,,
exp,100,,,,
exp,250,,,,
exp,400,,,,
exp,370,,,,
exp,400,,,,
exp,600,,,,
exp,500,,,,
exp,300,,,,
exp,450,,,,
exp,200,,,,
exp,400,,,,
exp,210,,,,
exp,300,,,,
exp,420,,,,
exp,760,,,,
exp,430,,,,
exp,100,,,,
exp,500,,,,
exp,333,,,,
exp,345,,,,
exp,100,,,,
exp,567,,,,
exp,330,,,,
exp,870,,,,
exp,233,,,,
exp,790,,,,
exp,500,,,,
exp,300,,,,
exp,400,,,,
exp,300,,,,
exp,400,,,,
exp,200,,,,
exp,110,,,,
exp,500,,,,
exp,490,,,,
exp,390,,,,
exp,220,,,,
exp,500,,,,
exp,490,,,,
exp,670,,,,
exp,540,,,,
exp,550,,,,
exp,640,,,,
exp,330,,,,
exp,300,,,,
exp,240,,,,
exp,100,,,,
exp,227,,,,
exp,444,,,,
exp,555,,,,
exp,760,,,,
exp,550,,,,
exp,488,,,,
exp,450,,,,
exp,600,,,,
exp,530,,,,
exp,430,,,,
exp,210,,,,
exp,657,,,,
exp,224,,,,
exp,367,,,,
exp,855,,,,
exp,356,,,,
exp,460,,,,
exp,538,,,,
exp,345,,,,
exp,234,,,,
exp,537,,,,
exp,456,,,,
exp,630,,,,
exp,778,,,,
exp,669,,,,
exp,300,,,,
exp,420,,,,
exp,540,,,,
exp,120,,,,
exp,230,,,,
exp,230,,,,
exp,340,,,,
exp,549,,,,
exp,860,,,,
exp,340,,,,
exp,560,,,,
exp,870,,,,
exp,"443
",,,,
exp,650,,,,
exp,430,,,,
exp,546,,,,
exp,347,,,,
exp,532,,,,
exp,200,,,,
exp,650,,,,
exp,654,,,,
exp,756,,,,
exp,"381
",,,,
exp,23,,,,
exp,833,,,,
exp,111,,,,
exp,999,,,,
exp,666,,,,
exp,534,,,,
exp,652,,,,
exp,255,,,,
exp,826,,,,
exp,872,,,,
exp,100,,,,
exp,452,,,,
exp,345,,,,
exp,644,,,,
exp,453,,,,
exp,534,,,,
exp,534,,,,
exp,423,,,,
exp,642,,,,
exp,757,,,,
exp,534,,,,
exp,634,,,,
exp,134,,,,
exp,535,,,,
exp,534,,,,
exp,345,,,,
exp,645,,,,
unexp,500,,,,
unexp,200,,,,
unexp,700,,,,
unexp,100,,,,
unexp,200,,,,
unexp,100,,,,
unexp,600,,,,
unexp,300,,,,
unexp,400,,,,
unexp,400,,,,
unexp,300,,,,
unexp,200,,,,
unexp,500,,,,
unexp,700,,,,
unexp,600,,,,
unexp,350,,,,
unexp,400,,,,
unexp,500,,,,
unexp,300,,,,
unexp,190,,,,
unexp,420,,,,
unexp,500,,,,
unexp,600,,,,
unexp,700,,,,
unexp,250,,,,
unexp,400,,,,
unexp,650,,,,
unexp,450,,,,
unexp,800,,,,
unexp,500,,,,
unexp,500,,,,
unexp,450,,,,
unexp,550,,,,
unexp,550,,,,
unexp,350,,,,
unexp,200,,,,
unexp,550,,,,
unexp,300,,,,
unexp,600,,,,
unexp,100,,,,
unexp,600,,,,
unexp,300,,,,
unexp,200,,,,
unexp,600,,,,
unexp,500,,,,
unexp,456,,,,
unexp,234,,,,
unexp,500,,,,
unexp,190,,,,
unexp,700,,,,
unexp,767,,,,
unexp,456,,,,
unexp,537,,,,
unexp,323,,,,
unexp,656,,,,
unexp,444,,,,
unexp,655,,,,
unexp,134,,,,
unexp,766,,,,
unexp,670,,,,
unexp,450,,,,
unexp,320,,,,
unexp,500,,,,
unexp,"555
",,,,
unexp,444,,,,
unexp,680,,,,
unexp,876,,,,
unexp,200,,,,
unexp,700,,,,
unexp,500,,,,
unexp,700,,,,
unexp,"750
",,,,
unexp,450,,,,
unexp,555,,,,
unexp,666,,,,
unexp,555,,,,
unexp,333,,,,
unexp,230,,,,
unexp,743,,,,
unexp,548,,,,
unexp,643,,,,
unexp,438,,,,
unexp,430,,,,
unexp,430,,,,
unexp,670,,,,
unexp,320,,,,
unexp,340,,,,
unexp,250,,,,
unexp,765,,,,
unexp,456,,,,
unexp,653,,,,
unexp,534,,,,
unexp,432,,,,
unexp,345,,,,
unexp,456,,,,
unexp,442,,,,
unexp,534,,,,
unexp,234,,,,
unexp,353,,,,
